date,health_reg_name,admissions,respiratory
2020-07-27,Sør-Øst,7,1
2020-07-28,Sør-Øst,5,1
2020-07-29,Sør-Øst,6,1
2020-07-30,Sør-Øst,6,1
2020-07-31,Sør-Øst,3,1
2020-08-03,Sør-Øst,7,1
2020-08-04,Sør-Øst,5,1
2020-08-05,Sør-Øst,6,1
2020-08-06,Sør-Øst,5,2
2020-08-07,Sør-Øst,5,2
2020-08-10,Sør-Øst,5,2
2020-08-11,Sør-Øst,6,2
2020-08-12,Sør-Øst,7,2
2020-08-13,Sør-Øst,7,1
2020-08-14,Sør-Øst,5,1
2020-08-17,Sør-Øst,6,1
2020-08-18,Sør-Øst,6,1
2020-08-19,Sør-Øst,6,0
2020-08-20,Sør-Øst,6,0
